trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.35434369377420455}",20,9,-0.39307060203753164,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.34751053780725555}",25,7,2.696317957188736,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.3407396115486146}",20,0,-39.49882329160771,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.3340330732481797}",20,0,5.361675520687262,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.5, 'e': 0.32739298293223956}",20,13,2.6857499581318542,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.320821300824607}",25,0,-33.966011819064285,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.31431988606174616}",35,0,39.334623297825566,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.30789049569821186}",20,0,15.227966971488673,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.30153478399746125}",20,1,-4.149227763478022,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.295254302001909}",20,15,9.172641285963074,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.28905049737499605}",20,13,-1.6171656295150236,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.2829247145070275}",25,5,19.40378509216838,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
